"BookletNumber","VH098519","VH098522","VH098556","VH098597","VH098740","VH098753","VH098759","VH098779","VH098783","VH098808","VH098810","VH098812","VH098834","VH098839","VH134366","VH134373","VH134387","VH139047","VH139196"
2013008638,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2013008808,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
2013009642,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
2013088623,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0
2013101140,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
2013109485,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0
2013118522,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0
2013136768,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0
2013137268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
2013138876,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0
2013154022,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0
2013159687,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0
2013165881,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0
2013201306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013206723,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
2013210861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013212154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013223474,1,0,0,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0
2013227658,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
2013238056,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0
2013256968,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0
2013260973,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
2013272726,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0
2013281067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
2013287791,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
2013288436,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0
2013304334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2013325714,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0
2013327598,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2013332621,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0
2013336864,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0
2013337305,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2013343941,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2023011577,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
2023026175,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0
2023034526,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0
