"BookletNumber","VH098519","VH098522","VH098556","VH098597","VH098740","VH098753","VH098759","VH098779","VH098783","VH098808","VH098810","VH098812","VH098834","VH098839","VH134366","VH134373","VH134387","VH139047","VH139196"
2013008808,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
2013035236,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0
2023266664,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0
2023325709,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2023384900,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
2033036548,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0
2043053003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2043105640,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
2043143452,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0
2043202939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2043205270,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
2043206616,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2043209593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2043219971,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
2043331518,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2043332425,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
2043333413,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0
2093001872,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0
2093003514,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0
2093005355,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0
2093005631,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1
2093008974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2093008982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2093014575,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1
2093015865,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
2093016306,0,NA,NA,NA,0,1,1,NA,1,1,1,0,NA,NA,1,1,0,1,0
2093016454,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,0
2093018104,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0
2093019259,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0
2093020893,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0
2093020958,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,0
2093021997,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0
2093022641,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0
2093023639,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0
2093026174,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1
2093026590,1,NA,NA,NA,0,1,1,NA,1,1,0,0,NA,NA,1,NA,0,0,NA
2093026671,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0
2093026832,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0
2093028983,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
2093029661,1,NA,NA,NA,0,1,1,NA,NA,1,0,NA,NA,NA,1,NA,NA,1,NA
2093029751,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2093031704,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
2093031968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2093032301,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2093032654,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,0
2093033154,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0
2093035700,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0
2093035882,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
2093038334,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2093043621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
2093046442,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
2093051292,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0
2093052141,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1,1
2093052582,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,0
2093055221,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0
2093055476,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1
