"BookletNumber","VH098519","VH098522","VH098556","VH098597","VH098740","VH098753","VH098759","VH098779","VH098783","VH098808","VH098810","VH098812","VH098834","VH098839","VH134366","VH134373","VH134387","VH139047","VH139196"
2013008808,1,0,0,0,1,0,0,1,0,0,1,0,0,0,3,0,0,2,1
2013035236,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1
2023266664,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1
2023325709,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3,0,0,1,1
2023384900,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,2,1
2033036548,1,0,0,0,0,1,0,0,1,0,0,0,1,0,2,0,0,1,1
2033109723,1,1,1,1,1,0,0,1,1,1,0,1,0,1,3,8,0,2,3
2043053003,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1
2043105640,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
2043143452,0,0,1,1,0,0,0,0,0,1,1,0,0,0,3,0,0,1,1
2043202939,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,2,1
2043205270,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3,0,0,2,2
2043206616,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1
2043209593,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
2043219971,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1
2043331518,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,2,1
2043332425,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,2,1
2043333413,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,2,1
2093001066,0,1,1,1,1,0,0,1,0,0,0,0,0,0,2,0,8,1,1
2093001872,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,1
2093003514,1,1,1,1,0,1,1,0,1,0,1,1,1,1,3,0,0,2,2
2093003760,0,NA,NA,NA,0,0,0,NA,1,0,0,0,NA,9,1,0,1,2,1
2093005355,1,1,1,1,0,1,1,1,1,1,1,0,0,1,3,1,0,2,3
2093005631,0,1,0,1,0,0,1,1,0,0,1,1,0,1,1,1,0,2,3
2093006556,1,NA,9,0,0,0,0,NA,1,1,1,1,NA,0,1,0,1,2,1
2093008303,0,1,0,0,0,0,0,1,0,1,1,0,0,0,3,0,0,1,1
2093008974,1,0,0,1,0,0,0,1,1,1,0,0,0,0,2,0,0,1,1
2093008982,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1
2093009130,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,1
2093009547,0,0,8,0,0,0,0,8,8,0,1,8,NA,0,3,8,0,8,8
2093010596,0,NA,NA,NA,0,1,1,NA,1,1,1,1,NA,9,3,9,1,2,2
2093010847,1,9,NA,NA,0,0,0,NA,1,0,1,0,NA,NA,3,9,0,2,1
2093014575,1,1,0,1,0,0,0,1,1,0,1,0,1,0,3,0,1,2,3
2093015261,1,NA,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,1,9,1,2,9
2093015865,1,0,0,1,0,0,0,0,0,1,1,0,0,0,3,0,0,2,3
2093016306,1,NA,NA,NA,1,0,1,NA,1,0,1,1,NA,NA,1,0,0,2,2
2093016454,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,1
2093016772,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,1
2093016802,1,1,1,1,0,0,0,0,1,1,1,0,1,1,3,0,0,2,3
2093017477,1,NA,9,1,1,0,0,NA,1,0,0,0,NA,1,3,0,0,2,2
2093017906,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
2093017990,0,NA,0,0,0,0,0,0,0,0,1,1,9,0,1,0,0,1,1
2093018104,0,1,1,1,0,0,0,1,1,1,1,1,0,0,3,0,0,2,3
2093018414,1,1,1,0,0,0,0,0,1,1,1,0,0,0,3,0,0,2,3
2093018571,1,NA,NA,9,1,0,1,NA,1,0,0,0,NA,1,1,8,1,2,1
2093019259,0,1,1,1,1,0,0,0,0,0,0,0,1,0,2,0,0,2,2
2093019445,1,1,0,0,1,1,1,1,1,0,0,1,0,1,2,1,0,2,3
2093020893,0,0,0,0,1,0,0,1,1,1,1,0,0,0,3,0,1,2,1
2093020958,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
2093021997,1,1,0,1,1,0,1,1,1,1,1,1,1,1,3,1,0,2,3
2093022241,0,1,0,1,1,1,1,1,1,1,1,0,0,1,3,0,0,2,2
2093022641,1,1,1,1,1,0,1,1,1,1,1,1,1,1,3,1,0,2,2
2093022934,1,1,0,1,1,1,1,0,1,0,1,1,1,1,3,0,1,2,3
2093023639,0,1,0,1,0,0,0,1,0,0,1,0,0,0,3,0,0,1,1
2093026174,0,1,1,1,0,0,1,1,1,0,0,0,0,1,2,0,0,1,1
2093026484,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1
2093026590,0,NA,NA,NA,0,0,0,NA,1,0,1,1,NA,NA,3,NA,1,2,NA
2093026671,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1
2093026832,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,2,1
2093027952,0,9,0,1,0,8,1,0,8,8,1,8,9,0,3,1,8,8,3
2093028886,0,9,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1
2093028983,0,0,0,1,0,0,0,1,1,0,0,0,0,0,3,0,0,2,2
2093029165,0,NA,0,0,0,0,0,9,0,0,1,1,NA,0,1,0,1,2,2
2093029173,0,NA,NA,NA,0,0,0,NA,NA,0,1,NA,NA,NA,2,NA,9,2,NA
2093029564,0,NA,0,0,1,0,0,0,1,1,0,0,9,0,1,0,0,2,2
2093029661,1,NA,NA,NA,0,0,0,NA,NA,0,1,NA,NA,NA,1,NA,NA,2,NA
2093029751,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,2
2093031704,1,1,0,0,0,0,1,0,1,1,0,0,1,1,3,0,0,2,3
2093031968,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,2,1
2093032301,1,0,0,0,0,1,0,1,1,1,1,0,0,1,3,0,0,2,1
2093032654,1,1,1,0,1,0,0,1,1,1,1,1,1,1,3,1,1,2,3
2093032808,1,9,0,1,1,0,0,1,1,1,0,1,0,0,1,1,0,2,1
