"BookletNumber","VH098519","VH098522","VH098556","VH098597","VH098740","VH098753","VH098759","VH098779","VH098783","VH098808","VH098810","VH098812","VH098834","VH098839","VH134366","VH134373","VH134387","VH139047","VH139196"
2163192970,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0
2263354498,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0
2083367068,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0
2263246784,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0
2233216496,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0
2443209430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2083162342,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2393333128,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1
2033204483,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1
2183353464,1,0,0,1,0,1,1,0,1,1,0,0,1,1,1,0,0,1,1
2493377433,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0
2333309191,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0
2233309168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2493138714,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0
2093159344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2133228160,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
2093058521,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0
2333108314,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0
2333226589,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0
2443283915,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0
2443068364,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0
2493269053,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0
2083119552,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0
2233017701,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1
2263081572,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0
2183217749,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0
2083178494,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1
2333318742,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
2233003255,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2333382220,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0
2163162469,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2163057924,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0
2233104094,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0
2183288638,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
2083084775,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0
2233245186,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2493052135,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0
2263354960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2333211140,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
2443311251,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0
2093350761,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
2163037907,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,0
2163086134,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
2183019254,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0
2333055695,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0
2113138793,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2093325520,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0
2233252484,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0
2183206682,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
2333308780,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
2233377503,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
2263135176,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0
2083275872,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0
2393331419,0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0
2333340543,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1,0
2083259940,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0
2333014841,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0
2333024561,1,1,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0
2333244790,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0
2333151155,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0
2233187844,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0
2493003509,1,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,1,1,0
2493118845,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0
2163020753,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0
2333244722,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0
2083140586,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0
2493064761,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0
2393346572,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
2443068437,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0
2183079389,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0
2163366854,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
2163287806,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0
2333046190,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0
2333343038,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0
2233217913,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,0,0,1,0
2083066475,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,0
2233353302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2263380316,1,1,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0
2493257691,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0
2163324833,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
2083059754,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,0
2083119455,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0
2083002311,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0
2303384887,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0
2333018331,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0
2083023784,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0
2263168741,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0
2443169667,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
