"BookletNumber","VH098519","VH098522","VH098556","VH098597","VH098740","VH098753","VH098759","VH098779","VH098783","VH098808","VH098810","VH098812","VH098834","VH098839","VH134366","VH134373","VH134387","VH139047","VH139196"
2163192970,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1
2263354498,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0
2083367068,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0
2263246784,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2233216496,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,1,1
2443209430,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0
2083162342,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2393333128,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1
2033204483,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1
2183353464,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2493377433,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
2333309191,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1
2233309168,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
2493138714,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0
2093159344,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
2133228160,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
2093058521,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1
2333108314,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0
2333226589,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0
2443283915,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0
2443068364,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1
2493269053,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1
2083119552,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0
2233017701,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1
2263081572,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0
2183217749,1,1,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1
2083178494,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
2333318742,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0
2233003255,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2333382220,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1
2163162469,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
2163057924,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1
2233104094,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1
2183288638,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0
2083084775,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0
2233245186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2493052135,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1
2263354960,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0
2333211140,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2443311251,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2093350761,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
2163037907,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
