"BookletNumber","VH098519","VH098522","VH098556","VH098597","VH098740","VH098753","VH098759","VH098779","VH098783","VH098808","VH098810","VH098812","VH098834","VH098839","VH134366","VH134373","VH134387","VH139047","VH139196"
2013008638,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,1
2013008808,1,0,0,0,1,0,0,1,0,0,1,0,0,0,3,0,0,2,1
2013009642,1,1,1,0,0,0,0,1,1,0,0,0,1,0,3,0,0,2,3
2013088623,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1
2013101140,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1
2013109485,0,0,0,1,0,0,0,0,0,0,0,1,1,0,3,0,0,2,1
2013118522,1,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,1,1,1
2013136768,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,2,1
2013137268,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
2013138876,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1
2013154022,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
2013159687,1,1,0,0,0,0,0,0,1,1,0,1,0,0,3,0,0,2,3
2013165881,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,2,3
2013199361,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1
2013201306,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
2013206723,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,2,1
2013210861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1
2013212154,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
2013223474,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2,2
2013227658,1,1,1,0,1,0,0,1,1,1,0,0,0,0,3,0,0,2,1
2013238056,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,2,1
2013256968,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1
2013260973,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1
2013272726,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
2013281067,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,2,1
2013287791,0,0,0,0,0,0,0,1,0,1,0,0,0,1,3,0,0,2,1
2013288436,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1
2013304334,0,1,0,0,1,0,0,1,1,0,1,1,0,0,3,0,0,2,1
2013325714,1,0,0,1,0,1,0,0,1,1,1,0,0,0,3,0,0,2,1
2013327598,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,2,1
2013332621,1,1,0,1,1,0,0,1,1,1,1,0,1,0,2,0,0,2,3
2013336864,1,0,0,1,1,0,0,1,1,1,1,0,0,1,3,0,0,2,1
2013337305,1,0,0,0,0,0,0,1,0,1,1,1,0,0,3,0,0,2,3
